"carrier","year","s","p","eps","mc"
"ATT",2009,0.231258136151313,47.1433333333333,-1.65542569770618,18.6652606547124
"ATT",2010,0.251011527597527,47.3666666666667,-1.62052908609286,18.1375296686576
"ATT",2011,0.254785761628134,46.67,-1.58864850572333,17.2928282518979
"ATT",2012,0.262945016218814,46.1933333333333,-1.5552065010091,16.4909540651392
"ATT",2013,0.25864313023672,46.1366666666667,-1.56236464912202,16.606641974548
"ATT",2014,0.250995520159283,44.93,-1.53719763434741,15.7014876759655
"ATT",2015,0.248881268035632,42.4766666666667,-1.45736352195585,13.3304268804114
"ATT",2016,0.246292767790572,39.2033333333333,-1.34969161996385,10.1571921604457
"Verizon",2009,0.278670381254055,51.08,-1.68303647222023,20.7300932433055
"Verizon",2010,0.28708298343385,51.4266666666667,-1.67469695262801,20.718623288451
"Verizon",2011,0.314164294904285,47.3833333333333,-1.4844124013463,15.4627341182106
"Verizon",2012,0.31766450268494,46.7266666666667,-1.45636971682289,14.6423228857466
"Verizon",2013,0.321768486130318,45.5866666666667,-1.41229257646637,13.3081803060522
"Verizon",2014,0.328272772523644,45.45,-1.394555212496,12.8589633793324
"Verizon",2015,0.329137217180377,44.14,-1.35261718797663,11.5069679844683
"Verizon",2016,0.326319277607489,41.5433333333333,-1.27839285282264,9.04680205063144
"STM",2009,NA,NA,NA,19.6976769490089
"STM",2010,NA,NA,NA,19.4280764785543
"STM",2011,NA,NA,NA,16.3777811850542
"STM",2012,NA,NA,NA,15.5666384754429
"STM",2013,NA,NA,NA,14.9574111403001
"STM",2014,NA,NA,NA,14.2802255276489
"STM",2015,NA,NA,NA,12.4186974324399
"STM",2016,NA,NA,NA,9.60199710553856
