"year","carrier","state","xi"
2009,"ATT","AL",-0.0307196706932744
2009,"ATT","AR",-0.159366019270632
2009,"ATT","AZ",0.161605507619946
2009,"ATT","CA",0.743617521410608
2009,"ATT","CO",0.344247402154873
2009,"ATT","CT",0.576845234860192
2009,"ATT","DC",1.11804283807663
2009,"ATT","DE",0.30029745014567
2009,"ATT","FL",0.162296884640082
2009,"ATT","GA",0.322394889225297
2009,"ATT","IA",-0.0468964519646927
2009,"ATT","ID",-0.111298275771824
2009,"ATT","IL",0.316028727853198
2009,"ATT","IN",-0.0469758297899807
2009,"ATT","KS",-0.0185164335422119
2009,"ATT","KY",-0.262604806588856
2009,"ATT","LA",0.0279939346643578
2009,"ATT","MA",0.424170496581105
2009,"ATT","MD",0.821303296763852
2009,"ATT","ME",-0.34628961999229
2009,"ATT","MI",0.0311940785057029
2009,"ATT","MN",0.216832447252906
2009,"ATT","MO",0.0181763091567523
2009,"ATT","MS",-0.0431470705842127
2009,"ATT","NC",0.142046275263083
2009,"ATT","NE",0.00183435547614205
2009,"ATT","NH",0.243056978372174
2009,"ATT","NJ",0.628880602731317
2009,"ATT","NM",0.141210413820258
2009,"ATT","NV",0.242908051971349
2009,"ATT","NY",0.421125565452193
2009,"ATT","OH",-0.017763400470002
2009,"ATT","OK",-0.136815221379832
2009,"ATT","OR",0.0761842392840167
2009,"ATT","PA",0.150738072920729
2009,"ATT","RI",0.218006327186633
2009,"ATT","SC",0.0769795798564037
2009,"ATT","SD",-0.25139746215742
2009,"ATT","TN",-0.0458377225118521
2009,"ATT","TX",0.482509868788545
2009,"ATT","UT",0.277800267877988
2009,"ATT","VA",0.45562549586258
2009,"ATT","VT",-0.0867790885967197
2009,"ATT","WA",0.336386275264943
2009,"ATT","WI",-0.0030104879825439
2009,"ATT","WV",-0.371595331635153
2009,"ATT","MT",-0.290504633038152
2009,"ATT","ND",-0.168743557991348
2009,"ATT","WY",-0.118886525847906
2009,"Sprint","AL",-0.822766670693274
2009,"Sprint","AR",-0.951413019270632
2009,"Sprint","AZ",-0.630441492380054
2009,"Sprint","CA",-0.0484294785893918
2009,"Sprint","CO",-0.447799597845127
2009,"Sprint","CT",-0.215201765139807
2009,"Sprint","DC",0.325995838076632
2009,"Sprint","DE",-0.49174954985433
2009,"Sprint","FL",-0.629750115359918
2009,"Sprint","GA",-0.469652110774703
2009,"Sprint","IA",-0.838943451964693
2009,"Sprint","ID",-0.903345275771824
2009,"Sprint","IL",-0.476018272146802
2009,"Sprint","IN",-0.839022829789981
2009,"Sprint","KS",-0.810563433542212
2009,"Sprint","KY",-1.05465180658886
2009,"Sprint","LA",-0.764053065335642
2009,"Sprint","MA",-0.367876503418895
2009,"Sprint","MD",0.0292562967638526
2009,"Sprint","ME",-1.13833661999229
2009,"Sprint","MI",-0.760852921494297
2009,"Sprint","MN",-0.575214552747094
2009,"Sprint","MO",-0.773870690843248
2009,"Sprint","MS",-0.835194070584213
2009,"Sprint","NC",-0.650000724736917
2009,"Sprint","NE",-0.790212644523858
2009,"Sprint","NH",-0.548990021627826
2009,"Sprint","NJ",-0.163166397268683
2009,"Sprint","NM",-0.650836586179742
2009,"Sprint","NV",-0.549138948028651
2009,"Sprint","NY",-0.370921434547806
2009,"Sprint","OH",-0.809810400470002
2009,"Sprint","OK",-0.928862221379832
2009,"Sprint","OR",-0.715862760715983
2009,"Sprint","PA",-0.641308927079271
2009,"Sprint","RI",-0.574040672813367
2009,"Sprint","SC",-0.715067420143596
2009,"Sprint","SD",-1.04344446215742
2009,"Sprint","TN",-0.837884722511852
2009,"Sprint","TX",-0.309537131211455
2009,"Sprint","UT",-0.514246732122012
2009,"Sprint","VA",-0.33642150413742
2009,"Sprint","VT",-0.87882608859672
2009,"Sprint","WA",-0.455660724735057
2009,"Sprint","WI",-0.795057487982544
2009,"Sprint","WV",-1.16364233163515
2009,"Sprint","MT",-1.08255163303815
2009,"Sprint","ND",-0.960790557991348
2009,"Sprint","WY",-0.910933525847906
2009,"TMobile","AL",-0.896692670693274
2009,"TMobile","AR",-1.02533901927063
2009,"TMobile","AZ",-0.704367492380054
2009,"TMobile","CA",-0.122355478589392
2009,"TMobile","CO",-0.521725597845127
2009,"TMobile","CT",-0.289127765139808
2009,"TMobile","DC",0.252069838076632
2009,"TMobile","DE",-0.56567554985433
2009,"TMobile","FL",-0.703676115359918
2009,"TMobile","GA",-0.543578110774703
2009,"TMobile","IA",-0.912869451964693
2009,"TMobile","ID",-0.977271275771824
2009,"TMobile","IL",-0.549944272146802
2009,"TMobile","IN",-0.912948829789981
2009,"TMobile","KS",-0.884489433542212
2009,"TMobile","KY",-1.12857780658886
2009,"TMobile","LA",-0.837979065335642
2009,"TMobile","MA",-0.441802503418895
2009,"TMobile","MD",-0.0446697032361475
2009,"TMobile","ME",-1.21226261999229
2009,"TMobile","MI",-0.834778921494297
2009,"TMobile","MN",-0.649140552747094
2009,"TMobile","MO",-0.847796690843248
2009,"TMobile","MS",-0.909120070584213
2009,"TMobile","NC",-0.723926724736917
2009,"TMobile","NE",-0.864138644523858
2009,"TMobile","NH",-0.622916021627826
2009,"TMobile","NJ",-0.237092397268683
2009,"TMobile","NM",-0.724762586179742
2009,"TMobile","NV",-0.623064948028651
2009,"TMobile","NY",-0.444847434547807
2009,"TMobile","OH",-0.883736400470002
2009,"TMobile","OK",-1.00278822137983
2009,"TMobile","OR",-0.789788760715983
2009,"TMobile","PA",-0.715234927079271
2009,"TMobile","RI",-0.647966672813367
2009,"TMobile","SC",-0.788993420143596
2009,"TMobile","SD",-1.11737046215742
2009,"TMobile","TN",-0.911810722511852
2009,"TMobile","TX",-0.383463131211455
2009,"TMobile","UT",-0.588172732122012
2009,"TMobile","VA",-0.41034750413742
2009,"TMobile","VT",-0.95275208859672
2009,"TMobile","WA",-0.529586724735057
2009,"TMobile","WI",-0.868983487982544
2009,"TMobile","WV",-1.23756833163515
2009,"TMobile","MT",-1.15647763303815
2009,"TMobile","ND",-1.03471655799135
2009,"TMobile","WY",-0.984859525847906
2009,"Verizon","AL",0.276032329306726
2009,"Verizon","AR",0.147385980729368
2009,"Verizon","AZ",0.468357507619946
2009,"Verizon","CA",1.05036952141061
2009,"Verizon","CO",0.650999402154873
2009,"Verizon","CT",0.883597234860192
2009,"Verizon","DC",1.42479483807663
2009,"Verizon","DE",0.60704945014567
2009,"Verizon","FL",0.469048884640082
2009,"Verizon","GA",0.629146889225297
2009,"Verizon","IA",0.259855548035307
