"ZIPCODE","state","Total.population","TRI"
36003,"AL",0.1864,4.3020397998
36006,"AL",0.1407,4.8297690895
36051,"AL",0.226,4.4159124322
36066,"AL",1.8812,3.5765425889
36067,"AL",2.8483,4.2278289308
36749,"AL",0.0691,6.7676863705
36507,"AL",1.9191,2.882534198
36511,"AL",0.0775,0.3841397849
36526,"AL",3.1326,2.249677086
36527,"AL",1.3507,3.2559407925
36530,"AL",0.7428,1.2058372701
36532,"AL",3.0327,1.6180782025
36535,"AL",2.5642,0.8171289001
36542,"AL",1.2871,0.5429094657
36549,"AL",0.473,1.0568487621
36550,"AL",0.0198,2.4384976629
36551,"AL",0.8472,1.9978672378
36555,"AL",0.0703,1.7472677596
36559,"AL",0.012,5.2058823529
36561,"AL",0.6229,0.5449062825
36562,"AL",0.1543,2.8556683089
36564,"AL",0.002,0.2
36567,"AL",1.3462,2.2091422428
36574,"AL",0.1427,1.8254570682
36576,"AL",0.374,1.7015086207
36578,"AL",0.1311,3.0816656284
36579,"AL",0.1063,2.5966842881
36580,"AL",0.6779,1.2655737341
36016,"AL",0.5148,4.7213110736
36017,"AL",0.3038,3.9146918981
36027,"AL",1.6217,3.5354510805
36048,"AL",0.1329,4.0117604213
36053,"AL",0.1966,3.7196020604
35034,"AL",0.439,5.3262925052
35035,"AL",0.1556,5.2599517884
35042,"AL",0.6313,5.7384280051
35074,"AL",0.0112,2.3977272727
35184,"AL",0.5966,6.3224670288
35188,"AL",0.3229,4.5430852135
36792,"AL",0.1204,4.0440987214
36793,"AL",0.0568,6.103144314
35013,"AL",0.0022,7.125
35031,"AL",0.7939,6.2041301494
35049,"AL",0.4123,5.9114713556
35079,"AL",0.9309,8.2273476112
35097,"AL",0.1896,5.5137186223
35121,"AL",1.467,8.0378921242
35133,"AL",0.3574,10.0126946673
35172,"AL",0.2867,6.9453852327
36029,"AL",0.0964,2.1975245031
36089,"AL",0.7916,2.704208628
36030,"AL",0.0377,4.7284847434
36033,"AL",0.4107,2.2910930171
36037,"AL",1.3937,3.267580789
36456,"AL",0.1771,3.3840515092
36201,"AL",1.8275,8.1166780312
36203,"AL",1.8628,4.6107625194
36205,"AL",0.0398,4.5047144397
36206,"AL",1.1973,6.1422926334
36207,"AL",2.0726,7.3282628962
36250,"AL",0.4968,3.376437157
36260,"AL",0.4156,3.4777458115
36265,"AL",2.081,7.2179467813
36271,"AL",0.6124,4.9380038675
36272,"AL",1.2967,8.5712918268
36277,"AL",0.4764,4.7146724418
36279,"AL",0.2769,4.9840179123
36854,"AL",1.4895,3.8549923489
36855,"AL",0.1582,3.8366726381
36862,"AL",0.6415,3.7342703955
36863,"AL",1.2147,3.6618982566
35959,"AL",0.442,4.2220577657
35960,"AL",1.0345,2.4413444135
35973,"AL",0.3439,7.8442576918
35983,"AL",0.3866,4.357684202
35045,"AL",1.4524,3.9228822537
35046,"AL",0.4909,5.793903702
35085,"AL",0.8555,4.6996284525
35171,"AL",0.3879,4.3315974972
36091,"AL",0.358,5.0351142568
